日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2016-11-24,'600246,万通地产,6.2,6.23,6.09,6.15,6.19,0.01,0.1616,0.9842,11975644,73496706.0,12734857672.4,7544160000.0
2016-11-23,'600246,万通地产,6.19,6.27,6.09,6.12,6.12,0.07,1.1438,1.4298,17397312,107580775.0,12714317579.4,7531992000.0
2016-11-22,'600246,万通地产,6.12,6.13,6.06,6.06,6.08,0.04,0.6579,0.6192,7534110,45938941.0,12570536928.2,7446816000.0
2016-11-21,'600246,万通地产,6.08,6.13,6.05,6.1,6.09,-0.01,-0.1642,0.6363,7743025,47121996.0,12488376556.2,7398144000.0
2016-11-18,'600246,万通地产,6.09,6.2,6.07,6.12,6.15,-0.06,-0.9756,0.9295,11309725,68980118.0,12508916649.2,7410312000.0
2016-11-17,'600246,万通地产,6.15,6.26,6.13,6.23,6.21,-0.06,-0.9662,1.101,13396499,82820471.0,12632157207.3,7483320000.0
2016-11-16,'600246,万通地产,6.21,6.22,6.1,6.17,6.17,0.04,0.6483,1.1664,14192160,87237217.0,12755397765.4,7556328000.0
2016-11-15,'600246,万通地产,6.17,6.23,6.1,6.14,6.14,0.03,0.4886,1.2512,15224977,93778068.0,12673237393.3,7507656000.0
2016-11-14,'600246,万通地产,6.14,6.26,6.1,6.26,6.23,-0.09,-1.4446,1.4819,18031790,111136582.0,12611617114.3,7471152000.0
2016-11-11,'600246,万通地产,6.23,6.34,6.2,6.29,6.31,-0.08,-1.2678,1.5575,18951853,118424593.0,12796477951.5,7580664000.0
2016-11-10,'600246,万通地产,6.31,6.44,6.28,6.4,6.33,-0.02,-0.316,1.613,19627449,124457935.0,12960798695.6,7678008000.0
2016-11-09,'600246,万通地产,6.33,6.43,6.21,6.34,6.39,-0.06,-0.939,1.9349,23543662,148773855.0,13001878881.7,7702344000.0
2016-11-08,'600246,万通地产,6.39,6.51,6.32,6.5,6.5,-0.11,-1.6923,2.0445,24877101,159453235.0,13125119439.8,7775352000.0
2016-11-07,'600246,万通地产,6.5,6.58,6.35,6.41,6.42,0.08,1.2461,2.1498,26158239,168631587.0,13351060463.0,7909200000.0
2016-11-04,'600246,万通地产,6.42,6.65,6.36,6.61,6.69,-0.27,-4.0359,3.4002,41374065,267878334.0,13186739718.8,7811856000.0
2016-11-03,'600246,万通地产,6.69,6.88,6.24,6.31,6.5,0.19,2.9231,5.9385,72259501,476205365.0,13741322230.4,8140392000.0
2016-11-02,'600246,万通地产,6.5,6.9,6.3,6.3,6.39,0.11,1.7214,5.4543,66367622,435222977.0,13351060463.0,7909200000.0
2016-11-01,'600246,万通地产,6.39,6.64,6.2,6.64,6.46,-0.07,-1.0836,7.8065,94988910,610569899.0,13125119439.8,7775352000.0
2016-10-31,'600246,万通地产,6.46,6.46,6.38,6.46,5.87,0.59,10.0511,2.6474,32213640,208082298.0,13268900090.9,7860528000.0
2016-10-28,'600246,万通地产,0.0,0.0,0.0,0.0,5.87,None,None,0.0,0,0.0,12057034602.7,7142616000.0
2016-10-27,'600246,万通地产,0.0,0.0,0.0,0.0,5.87,None,None,0.0,0,0.0,12057034602.7,7142616000.0
2016-10-26,'600246,万通地产,0.0,0.0,0.0,0.0,5.87,None,None,0.0,0,0.0,12057034602.7,7142616000.0
2016-10-25,'600246,万通地产,0.0,0.0,0.0,0.0,5.87,None,None,0.0,0,0.0,12057034602.7,7142616000.0
2016-10-24,'600246,万通地产,0.0,0.0,0.0,0.0,5.87,None,None,0.0,0,0.0,12057034602.7,7142616000.0
