日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-09-28,'603222,济民制药,11.05,11.18,11.02,11.16,11.15,-0.1,-0.8969,0.3894,1246200,13799308.0,3536000000.0,3536000000.0
2018-09-27,'603222,济民制药,11.15,11.25,11.05,11.19,11.19,-0.04,-0.3575,0.5746,1838800,20482322.0,3568000000.0,3568000000.0
2018-09-26,'603222,济民制药,11.19,11.28,11.06,11.18,11.18,0.01,0.0894,0.7523,2407200,26875117.0,3580800000.0,3580800000.0
2018-09-25,'603222,济民制药,11.18,11.28,11.06,11.16,11.16,0.02,0.1792,0.6287,2011800,22454556.0,3577600000.0,3577600000.0
2018-09-21,'603222,济民制药,11.16,11.16,10.88,10.88,10.99,0.17,1.5469,0.7126,2280300,25167092.0,3571200000.0,3571200000.0
2018-09-20,'603222,济民制药,10.99,11.0,10.8,10.98,11.0,-0.01,-0.0909,0.8043,2573600,28034805.0,3516800000.0,3516800000.0
2018-09-19,'603222,济民制药,11.0,11.15,10.77,10.93,11.0,0.0,0.0,1.248,3993602,43671408.0,3520000000.0,3520000000.0
2018-09-18,'603222,济民制药,11.0,11.36,10.82,11.33,11.12,-0.12,-1.0791,1.8328,5865000,64389397.0,3520000000.0,3520000000.0
2018-09-17,'603222,济民制药,11.12,11.75,10.57,11.7,11.74,-0.62,-5.2811,2.356,7539108,83791990.0,3558400000.0,3558400000.0
2018-09-14,'603222,济民制药,11.74,12.19,11.65,12.02,12.13,-0.39,-3.2152,1.3428,4297100,51206320.0,3756800000.0,3756800000.0
2018-09-13,'603222,济民制药,12.13,12.23,11.78,12.0,12.1,0.03,0.2479,1.8976,6072392,72994151.0,3881600000.0,3881600000.0
2018-09-12,'603222,济民制药,12.1,12.38,11.61,11.79,11.73,0.37,3.1543,1.9372,6198933,74514581.0,3872000000.0,3872000000.0
2018-09-11,'603222,济民制药,11.73,11.84,11.3,11.48,11.48,0.25,2.1777,1.8325,5864043,67695693.0,3753600000.0,3753600000.0
2018-09-10,'603222,济民制药,11.48,11.55,11.25,11.38,11.35,0.13,1.1454,1.4015,4484802,51225395.0,3673600000.0,3673600000.0
2018-09-07,'603222,济民制药,11.35,11.37,10.91,10.91,11.05,0.3,2.7149,1.2704,4065200,45567698.0,3632000000.0,3632000000.0
2018-09-06,'603222,济民制药,11.05,11.16,10.77,11.01,11.14,-0.09,-0.8079,1.1303,3616900,39522382.0,3536000000.0,3536000000.0
2018-09-05,'603222,济民制药,11.14,11.42,11.0,11.15,11.15,-0.01,-0.0897,1.2596,4030847,45213440.0,3564800000.0,3564800000.0
2018-09-04,'603222,济民制药,11.15,11.4,10.85,10.9,11.03,0.12,1.0879,1.2545,4014554,44623909.0,3568000000.0,3568000000.0
2018-09-03,'603222,济民制药,11.03,11.18,10.59,10.6,10.66,0.37,3.4709,1.4877,4760700,51840548.0,3529600000.0,3529600000.0
2018-08-31,'603222,济民制药,10.66,10.83,10.49,10.75,10.72,-0.06,-0.5597,1.156,3699100,39216829.0,3411200000.0,3411200000.0
2018-08-30,'603222,济民制药,10.72,10.79,10.41,10.48,10.48,0.24,2.2901,1.646,5267192,56170072.0,3430400000.0,3430400000.0
2018-08-29,'603222,济民制药,10.48,10.48,10.25,10.36,10.37,0.11,1.0608,0.7355,2353500,24443048.0,3353600000.0,3353600000.0
2018-08-28,'603222,济民制药,10.37,10.42,10.26,10.35,10.35,0.02,0.1932,0.4789,1532402,15816494.0,3318400000.0,3318400000.0
2018-08-27,'603222,济民制药,10.35,10.43,10.2,10.26,10.36,-0.01,-0.0965,0.886,2835200,29270614.0,3312000000.0,3312000000.0
2018-08-24,'603222,济民制药,10.36,10.39,10.19,10.27,10.32,0.04,0.3876,0.6798,2175492,22400951.0,3315200000.0,3315200000.0
2018-08-23,'603222,济民制药,10.32,10.42,10.22,10.32,10.39,-0.07,-0.6737,0.8429,2697300,27852601.0,3302400000.0,3302400000.0
2018-08-22,'603222,济民制药,10.39,10.42,10.02,10.1,10.16,0.23,2.2638,0.8273,2647355,27231729.0,3324800000.0,3324800000.0
2018-08-21,'603222,济民制药,10.16,10.37,10.08,10.29,10.28,-0.12,-1.1673,0.9938,3180110,32537911.0,3251200000.0,3251200000.0
2018-08-20,'603222,济民制药,10.28,10.32,9.89,9.9,9.93,0.35,3.5247,1.1021,3526810,35703634.0,3289600000.0,3289600000.0
2018-08-17,'603222,济民制药,9.93,9.99,9.82,9.84,9.87,0.06,0.6079,0.4897,1567160,15538886.0,3177600000.0,3177600000.0
2018-08-16,'603222,济民制药,9.87,9.88,9.6,9.66,9.75,0.12,1.2308,0.4533,1450602,14092445.0,3158400000.0,3158400000.0
2018-08-15,'603222,济民制药,9.75,9.84,9.62,9.67,9.73,0.02,0.2055,0.3554,1137302,11046425.0,3120000000.0,3120000000.0
2018-08-14,'603222,济民制药,9.73,9.96,9.66,9.96,9.89,-0.16,-1.6178,0.3874,1239612,12105234.0,3113600000.0,3113600000.0
2018-08-13,'603222,济民制药,9.89,9.99,9.83,9.83,9.93,-0.04,-0.4028,0.3817,1221400,12090372.0,3164800000.0,3164800000.0
2018-08-10,'603222,XD济民制,9.93,10.1,9.81,9.81,9.88,0.05,0.5061,1.2504,4001400,39942752.0,3177600000.0,3177600000.0
2018-08-09,'603222,济民制药,9.93,9.97,9.51,9.61,9.63,0.3,3.1153,1.1278,3609100,35448917.0,3177600000.0,3177600000.0
2018-08-08,'603222,济民制药,9.63,9.78,9.61,9.7,9.67,-0.04,-0.4137,0.4531,1449800,14060265.0,3081600000.0,3081600000.0
2018-08-07,'603222,济民制药,9.67,9.7,9.47,9.68,9.6,0.07,0.7292,0.3995,1278500,12287288.0,3094400000.0,3094400000.0
2018-08-06,'603222,济民制药,9.6,9.74,9.39,9.48,9.47,0.13,1.3728,0.416,1331302,12740334.0,3072000000.0,3072000000.0
2018-08-03,'603222,济民制药,9.47,9.6,9.35,9.39,9.39,0.08,0.852,0.3189,1020500,9673615.0,3030400000.0,3030400000.0
2018-08-02,'603222,济民制药,9.39,9.65,9.34,9.54,9.55,-0.16,-1.6754,0.5432,1738300,16391239.0,3004800000.0,3004800000.0
2018-08-01,'603222,济民制药,9.55,9.76,9.53,9.76,9.74,-0.19,-1.9507,0.3615,1156700,11133586.0,3056000000.0,3056000000.0
2018-07-31,'603222,济民制药,9.74,9.74,9.65,9.65,9.71,0.03,0.309,0.3289,1052450,10205915.0,3116800000.0,3116800000.0
2018-07-30,'603222,济民制药,9.71,9.81,9.64,9.72,9.72,-0.01,-0.1029,1.0413,3332300,32394621.0,3107200000.0,3107200000.0
2018-07-27,'603222,济民制药,9.72,10.02,9.65,10.02,9.8,-0.08,-0.8163,0.9777,3128700,30490261.0,3110400000.0,3110400000.0
2018-07-26,'603222,济民制药,9.8,9.85,9.43,9.53,9.51,0.29,3.0494,1.5207,4866100,47383642.0,3136000000.0,3136000000.0
2018-07-25,'603222,济民制药,9.51,9.52,9.25,9.31,9.28,0.23,2.4784,0.8203,2625050,24750709.0,3043200000.0,3043200000.0
