日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2019-09-30,'600538,国发股份,4.93,4.95,4.86,4.94,4.94,-0.01,-0.2024,0.3077,1429001,7021387.0,2289497842.05,2289497842.05
2019-09-27,'600538,国发股份,4.94,4.94,4.78,4.88,4.9,0.04,0.8163,0.4184,1943258,9475801.0,2294141853.9,2294141853.9
2019-09-26,'600538,国发股份,4.9,4.97,4.65,4.76,4.86,0.04,0.823,1.1635,5403345,26077561.0,2275565806.5,2275565806.5
2019-09-25,'600538,国发股份,4.86,4.91,4.72,4.91,4.88,-0.02,-0.4098,0.5819,2702207,12998053.0,2256989759.1,2256989759.1
2019-09-24,'600538,国发股份,4.88,4.95,4.86,4.92,4.9,-0.02,-0.4082,0.3879,1801500,8813134.0,2266277782.8,2266277782.8
2019-09-23,'600538,国发股份,4.9,5.01,4.87,5.0,4.97,-0.07,-1.4085,0.3093,1436400,7059078.0,2275565806.5,2275565806.5
2019-09-20,'600538,国发股份,4.97,5.03,4.95,4.97,4.97,0.0,0.0,0.358,1662402,8292853.0,2308073889.45,2308073889.45
2019-09-19,'600538,国发股份,4.97,4.98,4.84,4.84,4.84,0.13,2.686,0.6155,2858433,14029163.0,2308073889.45,2308073889.45
2019-09-18,'600538,国发股份,4.84,4.9,4.84,4.87,4.87,-0.03,-0.616,0.3524,1636334,7964124.0,2247701735.4,2247701735.4
2019-09-17,'600538,国发股份,4.87,5.02,4.85,5.01,5.01,-0.14,-2.7944,0.7223,3354200,16487048.0,2261633770.95,2261633770.95
2019-09-16,'600538,国发股份,5.01,5.03,4.99,5.01,5.01,0.0,0.0,0.3871,1797527,9011787.0,2326649936.85,2326649936.85
2019-09-12,'600538,国发股份,5.01,5.07,4.95,5.07,5.04,-0.03,-0.5952,0.6551,3042201,15167643.0,2326649936.85,2326649936.85
2019-09-11,'600538,国发股份,5.04,5.15,5.03,5.13,5.12,-0.08,-1.5625,0.6383,2964117,15034209.0,2340581972.4,2340581972.4
2019-09-10,'600538,国发股份,5.12,5.18,5.06,5.1,5.11,0.01,0.1957,0.7901,3669390,18789889.0,2377734067.2,2377734067.2
2019-09-09,'600538,国发股份,5.11,5.11,5.04,5.05,5.03,0.08,1.5905,0.7722,3585990,18203123.0,2373090055.35,2373090055.35
2019-09-06,'600538,国发股份,5.03,5.1,5.01,5.06,5.06,-0.03,-0.5929,0.3555,1650724,8317724.0,2335937960.55,2335937960.55
2019-09-05,'600538,国发股份,5.06,5.11,5.02,5.04,5.02,0.04,0.7968,0.6075,2821036,14308123.0,2349869996.1,2349869996.1
2019-09-04,'600538,国发股份,5.02,5.05,4.97,4.99,4.99,0.03,0.6012,0.4783,2221290,11132133.0,2331293948.7,2331293948.7
2019-09-03,'600538,国发股份,4.99,5.04,4.96,5.03,5.03,-0.04,-0.7952,0.5822,2703765,13504047.0,2317361913.15,2317361913.15
2019-09-02,'600538,国发股份,5.03,5.09,4.93,4.98,4.99,0.04,0.8016,0.5267,2446201,12255156.0,2335937960.55,2335937960.55
2019-08-30,'600538,国发股份,4.99,5.17,4.93,5.16,5.15,-0.16,-3.1068,0.9169,4258001,21317656.0,2317361913.15,2317361913.15
2019-08-29,'600538,国发股份,5.15,5.29,5.09,5.26,5.26,-0.11,-2.0913,0.8082,3753189,19365123.0,2391666102.75,2391666102.75
2019-08-28,'600538,国发股份,5.26,5.4,5.2,5.37,5.37,-0.11,-2.0484,0.9795,4548900,24002111.0,2442750233.1,2442750233.1
2019-08-27,'600538,国发股份,5.37,5.47,5.34,5.36,5.35,0.02,0.3738,0.4734,2198500,11847362.0,2493834363.45,2493834363.45
2019-08-26,'600538,国发股份,5.35,5.38,5.05,5.36,5.45,-0.1,-1.8349,0.3628,1684680,8982810.0,2484546339.75,2484546339.75
2019-08-23,'600538,国发股份,5.45,5.52,5.4,5.52,5.52,-0.07,-1.2681,0.6956,3230306,17595629.0,2530986458.25,2530986458.25
2019-08-22,'600538,国发股份,5.52,5.56,5.51,5.54,5.52,0.0,0.0,0.3166,1470349,8140323.0,2563494541.2,2563494541.2
2019-08-21,'600538,国发股份,5.52,5.54,5.44,5.51,5.5,0.02,0.3636,0.3858,1791500,9854681.0,2563494541.2,2563494541.2
