日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-06-15,'600053,九鼎投资,19.3,20.17,19.01,19.84,20.17,-0.87,-4.3133,0.2529,1096433,21477442.0,8367337440.0,8367337440.0
2018-06-14,'600053,九鼎投资,20.17,20.8,19.41,19.68,19.8,0.37,1.8687,0.3539,1534406,31030275.0,8744517936.0,8744517936.0
2018-06-13,'600053,九鼎投资,19.8,20.57,19.63,20.57,20.1,-0.3,-1.4925,0.2152,933188,18580803.0,8584107840.0,8584107840.0
2018-06-12,'600053,九鼎投资,20.1,20.13,19.78,19.87,19.88,0.22,1.1066,0.1567,679540,13580777.0,8714170080.0,8714170080.0
2018-06-11,'600053,九鼎投资,19.88,20.48,19.8,20.33,20.28,-0.4,-1.9724,0.2553,1106615,22080381.0,8618791104.0,8618791104.0
2018-06-08,'600053,九鼎投资,20.28,21.0,20.12,20.4,20.71,-0.43,-2.0763,0.2654,1150471,23473591.0,8792207424.0,8792207424.0
2018-06-07,'600053,九鼎投资,20.71,21.4,20.04,20.18,20.08,0.63,3.1375,0.4846,2101133,43768187.0,8978629968.0,8978629968.0
2018-06-06,'600053,九鼎投资,20.08,20.37,19.9,20.37,20.28,-0.2,-0.9862,0.2784,1206995,24209413.0,8705499264.0,8705499264.0
2018-06-05,'600053,九鼎投资,20.28,20.39,19.91,20.03,19.88,0.4,2.0121,0.2147,930992,18760650.0,8792207424.0,8792207424.0
2018-06-04,'600053,九鼎投资,19.88,20.19,19.84,20.16,20.11,-0.23,-1.1437,0.1642,711681,14222662.0,8618791104.0,8618791104.0
2018-06-01,'600053,九鼎投资,20.11,20.38,19.76,20.29,20.3,-0.19,-0.936,0.2191,949743,19124588.0,8718505488.0,8718505488.0
2018-05-31,'600053,九鼎投资,20.3,20.65,20.11,20.43,20.24,0.06,0.2964,0.2899,1256910,25573241.0,8800878240.0,8800878240.0
2018-05-30,'600053,九鼎投资,20.24,21.6,20.01,21.32,22.12,-1.88,-8.4991,0.7533,3265685,67106238.0,8774865792.0,8774865792.0
2018-05-29,'600053,九鼎投资,22.12,22.65,21.92,22.18,22.39,-0.27,-1.2059,0.5187,2248900,50340530.0,9589922496.0,9589922496.0
