日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2015-11-24,'603108,润达医疗,98.08,98.98,89.75,90.01,90.21,7.87,8.7241,9.9823,2355834,221524398.0,9231909073.28,2314688000.0
2015-11-23,'603108,润达医疗,90.21,93.19,90.0,93.0,93.0,-2.79,-3.0,5.4132,1277506,116010853.0,8491134966.36,2128956000.0
2015-11-20,'603108,润达医疗,93.0,93.65,89.39,92.5,91.99,1.01,1.0979,6.1968,1462443,134487158.0,8753747388.0,2194800000.0
2015-11-19,'603108,润达医疗,91.99,92.28,87.9,88.49,87.07,4.92,5.6506,5.8341,1376838,123857715.0,8658679808.84,2170964000.0
2015-11-18,'603108,润达医疗,87.07,92.5,86.0,90.74,91.14,-4.07,-4.4657,5.5281,1304633,116881304.0,8195578334.12,2054852000.0
2015-11-17,'603108,润达医疗,91.14,96.6,90.7,96.0,94.45,-3.31,-3.5045,6.6647,1572879,146235713.0,8578672440.24,2150904000.0
2015-11-16,'603108,润达医疗,94.45,96.0,90.3,92.0,97.08,-2.63,-2.7091,7.9138,1867665,174191439.0,8890230546.2,2229020000.0
2015-11-13,'603108,润达医疗,97.08,105.5,97.08,105.5,107.87,-10.79,-10.0028,9.7115,2291912,228707599.0,9137782757.28,2291088000.0
2015-11-12,'603108,润达医疗,107.87,108.0,99.99,105.0,103.29,4.58,4.4341,9.2171,2175241,225223676.0,10153405706.9,2545732000.0
2015-11-11,'603108,润达医疗,103.29,105.0,97.04,97.04,97.84,5.45,5.5703,7.2434,1709438,174265751.0,9722307179.64,2437644000.0
2015-11-10,'603108,润达医疗,97.84,101.0,94.86,97.6,98.78,-0.94,-0.9516,7.6452,1804258,176318265.0,9209318757.44,2309024000.0
2015-11-09,'603108,润达医疗,98.78,104.32,93.5,93.88,95.43,3.35,3.5104,9.3095,2197036,218383657.0,9297797494.48,2331208000.0
2015-11-06,'603108,润达医疗,95.43,96.65,89.11,90.24,91.22,4.21,4.6152,6.0387,1425136,133684232.0,8982474335.88,2252148000.0
2015-11-05,'603108,润达医疗,91.22,92.94,87.97,92.18,92.18,-0.96,-1.0414,8.5322,2013604,181507026.0,8586202545.52,2152792000.0
2015-11-04,'603108,润达医疗,92.18,93.1,86.8,87.75,88.29,3.89,4.4059,9.0579,2137666,191860708.0,8676563808.88,2175448000.0
2015-11-03,'603108,润达医疗,88.29,89.9,85.1,86.53,87.43,0.86,0.9836,5.7567,1358573,119173208.0,8310412439.64,2083644000.0
2015-11-02,'603108,润达医疗,87.43,91.45,84.03,84.79,85.6,1.83,2.1379,9.9064,2337918,207771113.0,8229463807.88,2063348000.0
2015-10-30,'603108,润达医疗,85.6,88.68,81.2,83.1,84.68,0.92,1.0864,4.9369,1165101,100472942.0,8057212649.6,2020160000.0
2015-10-29,'603108,润达医疗,84.68,84.8,80.8,83.0,82.0,2.68,3.2683,5.7905,1366555,112478779.0,7970616438.88,1998448000.0
2015-10-28,'603108,润达医疗,82.0,86.08,80.95,84.2,84.91,-2.91,-3.4272,9.1859,2167867,182220243.0,7718357912.0,1935200000.0
2015-10-27,'603108,润达医疗,84.91,85.0,77.5,79.88,81.22,3.69,4.5432,8.8175,2080925,168244626.0,7992265491.56,2003876000.0
2015-10-26,'603108,润达医疗,81.22,83.5,77.0,79.5,80.42,0.8,0.9948,12.6628,2988421,240438074.0,7644939385.52,1916792000.0
2015-10-23,'603108,润达医疗,80.42,81.3,77.0,77.99,74.98,5.44,7.2553,13.2898,3136391,248006803.0,7569638332.72,1897912000.0
2015-10-22,'603108,润达医疗,74.98,74.98,68.29,68.35,68.16,6.82,10.0059,9.1403,2157110,156240377.0,7057591173.68,1769528000.0
2015-10-21,'603108,润达医疗,68.16,74.7,66.5,73.12,73.22,-5.06,-6.9107,8.3046,1959879,139957650.0,6415649698.56,1608576000.0
2015-10-20,'603108,润达医疗,73.22,74.38,70.5,72.0,71.5,1.72,2.4056,7.552,1782266,129712173.0,6891928857.52,1727992000.0
2015-10-19,'603108,润达医疗,71.5,73.54,70.25,73.54,73.9,-2.4,-3.2476,8.6574,2043140,145860963.0,6730031594.0,1687400000.0
2015-10-16,'603108,润达医疗,73.9,77.6,71.0,77.0,74.85,-0.95,-1.2692,9.9177,2340570,174868188.0,6955934752.4,1744040000.0
2015-10-15,'603108,润达医疗,74.85,75.96,70.12,71.05,70.82,4.03,5.6905,8.453,1994909,147254903.0,7045354752.6,1766460000.0
2015-10-14,'603108,润达医疗,70.82,72.66,70.4,72.27,72.84,-2.02,-2.7732,6.7255,1587209,113623811.0,6666025699.12,1671352000.0
2015-10-13,'603108,润达医疗,72.84,73.89,68.88,69.13,70.13,2.71,3.8643,10.0733,2377296,170728229.0,6856160857.44,1719024000.0
2015-10-12,'603108,润达医疗,70.13,71.8,67.76,68.2,67.45,2.68,3.9733,12.4034,2927209,204829204.0,6601078541.08,1655068000.0
2015-10-09,'603108,润达医疗,67.45,69.72,66.68,68.39,67.93,-0.48,-0.7066,9.5166,2245912,152454115.0,6348820014.2,1591820000.0
2015-10-08,'603108,润达医疗,67.93,72.3,67.0,70.0,68.14,-0.21,-0.3082,9.638,2274572,159918321.0,6394000645.88,1603148000.0
2015-09-30,'603108,润达医疗,68.14,72.3,66.65,71.65,71.65,-3.51,-4.8988,6.2005,1463319,100039298.0,6413767172.24,1608104000.0
2015-09-29,'603108,润达医疗,71.65,72.3,68.8,68.9,70.56,1.09,1.5448,5.4254,1280403,91295185.0,6744150541.4,1690940000.0
2015-09-28,'603108,润达医疗,70.56,71.3,65.44,65.5,65.29,5.27,8.0717,6.1538,1452300,100129561.0,6641552856.96,1665216000.0
2015-09-25,'603108,润达医疗,65.29,70.7,64.55,69.77,70.96,-5.67,-7.9904,5.8825,1388263,93012652.0,6145507171.64,1540844000.0
2015-09-24,'603108,润达医疗,70.96,72.2,66.9,66.9,66.6,4.36,6.5465,7.9205,1869247,131556707.0,6679203383.36,1674656000.0
2015-09-23,'603108,润达医疗,66.6,68.9,65.61,66.96,67.75,-1.15,-1.6974,4.7131,1112292,74547863.0,6268812645.6,1571760000.0
2015-09-22,'603108,润达医疗,67.75,71.1,66.75,68.5,69.26,-1.51,-2.1802,8.0915,1909598,131967666.0,6377057909.0,1598900000.0
2015-09-21,'603108,润达医疗,69.26,69.5,62.11,62.11,63.45,5.81,9.1568,8.7972,2076130,138618415.0,6519188646.16,1634536000.0
2015-09-18,'603108,润达医疗,63.45,64.1,60.8,61.1,60.33,3.12,5.1716,4.7999,1132768,71058704.0,5972314750.2,1497420000.0
2015-09-17,'603108,润达医疗,60.33,64.62,59.5,59.5,60.42,-0.09,-0.149,9.6434,2275853,142250535.0,5678640644.28,1423788000.0
2015-09-16,'603108,润达医疗,60.42,60.43,53.88,55.0,54.94,5.48,9.9745,5.5073,1299731,74013408.0,5687112012.72,1425912000.0
2015-09-15,'603108,润达医疗,54.94,56.4,53.15,53.85,53.99,0.95,1.7596,4.8563,1146097,63374532.0,5171299801.04,1296584000.0
2015-09-14,'603108,润达医疗,53.99,60.8,53.95,59.4,59.94,-5.95,-9.9266,6.6455,1568329,90833395.0,5081879800.84,1274164000.0
2015-09-11,'603108,润达医疗,59.94,60.48,58.5,59.3,59.1,0.84,1.4213,4.6612,1100050,65448830.0,5641931381.04,1414584000.0
2015-09-10,'603108,润达医疗,59.1,60.58,56.5,56.95,57.79,1.31,2.2668,8.4161,1986209,117936515.0,5562865275.6,1394760000.0
2015-09-09,'603108,润达医疗,57.79,58.8,56.03,56.03,55.76,2.03,3.6406,8.2082,1937141,111799622.0,5439559801.64,1363844000.0
2015-09-08,'603108,润达医疗,55.76,55.98,50.07,51.0,51.43,4.33,8.4192,5.1382,1212619,64757884.0,5248483380.16,1315936000.0
2015-09-07,'603108,润达医疗,51.43,53.0,50.46,51.0,50.0,1.43,2.86,3.7249,879068,45592548.0,4840916431.88,1213748000.0
2015-09-02,'603108,润达医疗,50.0,53.51,47.08,49.15,49.76,0.24,0.4823,6.2855,1483373,75602286.0,4706315800.0,1180000000.0
2015-09-01,'603108,润达医疗,49.76,53.68,49.34,53.5,54.8,-5.04,-9.1971,7.3578,1736443,89503762.0,4683725484.16,1174336000.0
2015-08-31,'603108,润达医疗,54.8,59.9,54.79,55.8,56.7,-1.9,-3.351,8.9314,2107801,119435640.0,5158122116.8,1293280000.0
