日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量
2017-11-02,'600152,维科精华,9.29,9.61,9.26,9.61,9.62,-0.33,-3.4304,1.7113,5022583
2017-11-03,'600152,维科精华,9.34,9.4,9.18,9.32,9.29,0.05,0.5382,1.1993,3519901
2017-11-06,'600152,维科精华,9.38,9.42,9.14,9.31,9.34,0.04,0.4283,0.9594,2815900
2017-11-07,'600152,维科精华,9.48,9.51,9.26,9.38,9.38,0.1,1.0661,1.0015,2939293
2017-11-08,'600152,维科精华,9.51,9.62,9.41,9.51,9.48,0.03,0.3165,1.5131,4440715
2017-11-09,'600152,维科精华,9.56,9.56,9.4,9.5,9.51,0.05,0.5258,0.92,2700209
2017-11-10,'600152,维科精华,9.45,9.56,9.43,9.55,9.56,-0.11,-1.1506,0.9251,2715039
2017-11-13,'600152,维科精华,9.35,9.45,9.24,9.45,9.45,-0.1,-1.0582,1.183,3472102
2017-11-14,'600152,维科精华,9.24,9.35,9.21,9.34,9.35,-0.11,-1.1765,1.0068,2954763
2017-11-15,'600152,维科精华,9.18,9.3,9.14,9.2,9.24,-0.06,-0.6494,1.027,3014151
2017-11-16,'600152,维科精华,9.2,9.3,9.16,9.16,9.18,0.02,0.2179,0.7596,2229511
2017-11-17,'600152,维科精华,8.76,9.25,8.71,9.22,9.2,-0.44,-4.7826,1.6492,4840287
2017-11-20,'600152,维科精华,8.83,8.9,8.67,8.68,8.76,0.07,0.7991,0.9321,2735799
2017-11-21,'600152,维科精华,8.83,8.9,8.78,8.83,8.83,0.0,0.0,0.8561,2512517
2017-11-22,'600152,维科精华,8.63,8.85,8.52,8.85,8.83,-0.2,-2.265,1.1084,3253117
2017-11-23,'600152,维科精华,8.59,8.79,8.57,8.6,8.63,-0.04,-0.4635,1.2405,3640910
2017-11-24,'600152,维科精华,8.59,8.68,8.41,8.58,8.59,0.0,0.0,1.3291,3900791
2017-11-27,'600152,维科精华,8.36,8.55,8.35,8.53,8.59,-0.23,-2.6775,0.8481,2489258
2017-11-28,'600152,维科精华,8.44,8.49,8.31,8.36,8.36,0.08,0.9569,0.877,2574048
2017-11-29,'600152,维科精华,8.38,8.46,8.21,8.41,8.44,-0.06,-0.7109,1.1954,3508320
2017-11-30,'600152,维科精华,8.41,8.43,8.3,8.36,8.38,0.03,0.358,0.7501,2201460
2017-12-01,'600152,维科精华,8.43,8.45,8.33,8.42,8.41,0.02,0.2378,0.8862,2601030
2017-12-04,'600152,维科精华,8.05,8.41,8.02,8.36,8.43,-0.38,-4.5077,1.5887,4662800
2017-12-05,'600152,维科精华,7.78,8.12,7.62,8.04,8.05,-0.27,-3.354,1.5526,4556769
2017-12-06,'600152,维科精华,7.85,7.85,7.65,7.72,7.78,0.07,0.8997,1.0108,2966765
2017-12-07,'600152,维科精华,7.83,7.95,7.75,7.84,7.85,-0.02,-0.2548,0.8691,2550801
2017-12-08,'600152,维科精华,7.95,7.97,7.8,7.86,7.83,0.12,1.5326,1.0225,3000907
2017-12-11,'600152,维科精华,8.0,8.03,7.86,7.93,7.95,0.05,0.6289,0.6915,2029628
2017-12-12,'600152,维科精华,7.87,8.05,7.85,7.96,8.0,-0.13,-1.625,0.882,2588750
2017-12-13,'600152,维科精华,8.03,8.08,7.85,7.89,7.87,0.16,2.033,0.8744,2566223
2017-12-14,'600152,维科精华,7.92,8.05,7.88,7.98,8.03,-0.11,-1.3699,0.7702,2260500
2017-12-15,'600152,维科精华,8.0,8.02,7.88,7.92,7.92,0.08,1.0101,0.5584,1638909
2017-12-18,'600152,维科精华,7.92,8.02,7.89,8.0,8.0,-0.08,-1.0,0.5975,1753610
2017-12-19,'600152,维科精华,7.91,7.98,7.89,7.9,7.92,-0.01,-0.1263,0.4059,1191300
2017-12-20,'600152,维科精华,7.73,7.92,7.7,7.92,7.91,-0.18,-2.2756,0.6752,1981800
2017-12-21,'600152,维科精华,7.77,7.81,7.56,7.68,7.73,0.04,0.5175,0.7703,2260800
2017-12-22,'600152,维科精华,7.81,7.82,7.7,7.71,7.77,0.04,0.5148,0.498,1461500
2017-12-25,'600152,维科精华,7.69,7.84,7.6,7.78,7.81,-0.12,-1.5365,0.6411,1881587
2017-12-26,'600152,维科精华,7.77,7.86,7.62,7.65,7.69,0.08,1.0403,1.248,3662775
2017-12-27,'600152,维科精华,7.7,7.79,7.67,7.74,7.77,-0.07,-0.9009,0.7939,2330190
2017-12-28,'600152,维科精华,7.63,7.74,7.52,7.66,7.7,-0.07,-0.9091,0.7779,2283200
2017-12-29,'600152,维科精华,7.73,7.77,7.6,7.65,7.63,0.1,1.3106,0.7565,2220176
2018-01-02,'600152,维科精华,7.93,7.97,7.72,7.75,7.73,0.2,2.5873,1.5749,4622359
2018-01-03,'600152,维科精华,8.01,8.05,7.86,7.94,7.93,0.08,1.0088,1.2944,3799001
2018-01-04,'600152,维科精华,8.13,8.21,7.93,7.95,8.01,0.12,1.4981,1.9355,5680701
2018-01-05,'600152,维科精华,8.1,8.14,8.01,8.1,8.13,-0.03,-0.369,1.2883,3781204
2018-01-08,'600152,维科精华,8.03,8.1,7.95,8.07,8.1,-0.07,-0.8642,0.8071,2368700
2018-01-09,'600152,维科精华,8.02,8.07,7.96,8.0,8.03,-0.01,-0.1245,0.9339,2740800
2018-01-10,'600152,维科精华,7.78,8.04,7.73,8.02,8.02,-0.24,-2.9925,1.1555,3391250
2018-01-11,'600152,维科精华,7.93,7.96,7.75,7.79,7.78,0.15,1.928,0.9079,2664700
2018-01-12,'600152,维科精华,8.05,8.14,7.91,7.97,7.93,0.12,1.5132,1.2767,3746922
2018-01-15,'600152,维科精华,8.33,8.77,8.21,8.36,8.05,0.28,3.4783,6.4179,18836126
2018-01-16,'600152,维科精华,8.49,8.5,8.05,8.07,8.33,0.16,1.9208,3.8072,11173947
2018-01-17,'600152,维科精华,8.31,8.41,8.21,8.35,8.49,-0.18,-2.1201,1.9583,5747531
