日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量
2018-07-05,'603222,济民制药,9.16,9.18,9.1,9.14,9.13,0.03,0.3286,0.6674,2135800
2018-07-06,'603222,济民制药,9.19,9.22,9.08,9.14,9.16,0.03,0.3275,0.4408,1410500
2018-07-09,'603222,济民制药,9.3,9.35,9.12,9.2,9.19,0.11,1.197,0.99,3167900
2018-07-10,'603222,济民制药,9.17,9.33,9.09,9.28,9.3,-0.13,-1.3978,0.8728,2792807
2018-07-11,'603222,济民制药,9.12,9.19,8.93,9.1,9.17,-0.05,-0.5453,0.9948,3183200
2018-07-12,'603222,济民制药,9.3,9.33,9.08,9.16,9.12,0.18,1.9737,1.2452,3984709
2018-07-13,'603222,济民制药,9.2,9.28,9.17,9.28,9.3,-0.1,-1.0753,0.5922,1895000
2018-07-16,'603222,济民制药,9.4,9.42,9.16,9.2,9.2,0.2,2.1739,1.6541,5293070
2018-07-17,'603222,济民制药,9.68,9.89,9.39,9.42,9.4,0.28,2.9787,2.5081,8025900
2018-07-18,'603222,济民制药,9.44,9.65,9.41,9.65,9.68,-0.24,-2.4793,1.2628,4041000
2018-07-19,'603222,济民制药,9.31,9.44,9.25,9.36,9.44,-0.13,-1.3771,0.8143,2605670
2018-07-20,'603222,济民制药,9.47,9.48,9.11,9.3,9.31,0.16,1.7186,1.2366,3957200
2018-07-23,'603222,济民制药,9.2,9.36,9.17,9.36,9.47,-0.27,-2.8511,1.2161,3891600
2018-07-24,'603222,济民制药,9.28,9.38,9.18,9.18,9.2,0.08,0.8696,0.6577,2104492
2018-07-25,'603222,济民制药,9.51,9.52,9.25,9.31,9.28,0.23,2.4784,0.8203,2625050
2018-07-26,'603222,济民制药,9.8,9.85,9.43,9.53,9.51,0.29,3.0494,1.5207,4866100
2018-07-27,'603222,济民制药,9.72,10.02,9.65,10.02,9.8,-0.08,-0.8163,0.9777,3128700
2018-07-30,'603222,济民制药,9.71,9.81,9.64,9.72,9.72,-0.01,-0.1029,1.0413,3332300
2018-07-31,'603222,济民制药,9.74,9.74,9.65,9.65,9.71,0.03,0.309,0.3289,1052450
2018-08-01,'603222,济民制药,9.55,9.76,9.53,9.76,9.74,-0.19,-1.9507,0.3615,1156700
2018-08-02,'603222,济民制药,9.39,9.65,9.34,9.54,9.55,-0.16,-1.6754,0.5432,1738300
2018-08-03,'603222,济民制药,9.47,9.6,9.35,9.39,9.39,0.08,0.852,0.3189,1020500
2018-08-06,'603222,济民制药,9.6,9.74,9.39,9.48,9.47,0.13,1.3728,0.416,1331302
2018-08-07,'603222,济民制药,9.67,9.7,9.47,9.68,9.6,0.07,0.7292,0.3995,1278500
2018-08-08,'603222,济民制药,9.63,9.78,9.61,9.7,9.67,-0.04,-0.4137,0.4531,1449800
2018-08-09,'603222,济民制药,9.93,9.97,9.51,9.61,9.63,0.3,3.1153,1.1278,3609100
2018-08-10,'603222,XD济民制,9.93,10.1,9.81,9.81,9.88,0.05,0.5061,1.2504,4001400
2018-08-13,'603222,济民制药,9.89,9.99,9.83,9.83,9.93,-0.04,-0.4028,0.3817,1221400
2018-08-14,'603222,济民制药,9.73,9.96,9.66,9.96,9.89,-0.16,-1.6178,0.3874,1239612
2018-08-15,'603222,济民制药,9.75,9.84,9.62,9.67,9.73,0.02,0.2055,0.3554,1137302
2018-08-16,'603222,济民制药,9.87,9.88,9.6,9.66,9.75,0.12,1.2308,0.4533,1450602
2018-08-17,'603222,济民制药,9.93,9.99,9.82,9.84,9.87,0.06,0.6079,0.4897,1567160
2018-08-20,'603222,济民制药,10.28,10.32,9.89,9.9,9.93,0.35,3.5247,1.1021,3526810
2018-08-21,'603222,济民制药,10.16,10.37,10.08,10.29,10.28,-0.12,-1.1673,0.9938,3180110
