日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量
2016-07-11,'600738,兰州民百,8.65,9.34,8.52,9.34,8.49,0.16,1.8846,12.4899,45987751
2016-07-12,'600738,兰州民百,8.43,8.65,8.11,8.65,8.65,-0.22,-2.5434,6.9753,25683066
2016-07-13,'600738,兰州民百,8.48,8.51,8.37,8.45,8.43,0.05,0.5931,3.5079,12916080
2016-07-14,'600738,兰州民百,8.53,8.59,8.44,8.48,8.48,0.05,0.5896,2.545,9370833
2016-07-15,'600738,兰州民百,8.47,8.57,8.44,8.57,8.53,-0.06,-0.7034,2.0985,7726821
2016-07-18,'600738,兰州民百,8.33,8.51,8.26,8.51,8.47,-0.14,-1.6529,1.8699,6885042
2016-07-19,'600738,兰州民百,8.47,8.47,8.28,8.36,8.33,0.14,1.6807,2.0582,7578163
2016-07-20,'600738,兰州民百,8.46,8.49,8.4,8.44,8.47,-0.01,-0.1181,1.4734,5424925
2016-07-21,'600738,兰州民百,8.46,8.54,8.39,8.47,8.46,0.0,0.0,2.0843,7674216
2016-07-22,'600738,兰州民百,8.42,8.5,8.39,8.48,8.46,-0.04,-0.4728,1.5567,5731660
2016-07-25,'600738,兰州民百,8.39,8.45,8.34,8.41,8.42,-0.03,-0.3563,1.3884,5111968
2016-07-26,'600738,兰州民百,8.49,8.5,8.36,8.37,8.39,0.1,1.1919,2.2131,8148701
