日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量
2017-12-22,'603318,派思股份,15.28,15.45,14.9,15.1,15.15,0.13,0.8581,6.1233,6502900
2017-12-25,'603318,派思股份,15.18,15.45,14.81,15.4,15.28,-0.1,-0.6545,4.9782,5286800
2017-12-26,'603318,派思股份,15.58,15.71,14.9,14.91,15.18,0.4,2.635,7.4502,7912127
2017-12-27,'603318,派思股份,15.11,15.94,14.89,15.54,15.58,-0.47,-3.0167,7.7525,8233198
2017-12-28,'603318,派思股份,14.67,15.08,14.62,15.05,15.11,-0.44,-2.912,4.0518,4302990
2017-12-29,'603318,派思股份,14.67,14.78,14.1,14.6,14.67,0.0,0.0,4.3369,4605760
2018-01-02,'603318,派思股份,14.94,15.09,14.67,14.7,14.67,0.27,1.8405,3.8613,4100651
2018-01-03,'603318,派思股份,15.01,15.15,14.77,14.94,14.94,0.07,0.4685,3.7857,4020461
2018-01-04,'603318,派思股份,14.76,15.05,14.7,15.03,15.01,-0.25,-1.6656,2.4709,2624060
2018-01-05,'603318,派思股份,14.76,14.85,14.45,14.75,14.76,0.0,0.0,3.7074,3937300
2018-01-08,'603318,派思股份,14.64,14.84,14.42,14.74,14.76,-0.12,-0.813,4.48,4757717
2018-01-09,'603318,派思股份,14.42,14.69,14.39,14.56,14.64,-0.22,-1.5027,1.5118,1605517
2018-01-10,'603318,派思股份,14.25,14.41,14.12,14.4,14.42,-0.17,-1.1789,1.6647,1767888
2018-01-11,'603318,派思股份,14.45,14.5,14.03,14.19,14.25,0.2,1.4035,2.3434,2488722
2018-01-12,'603318,派思股份,14.46,14.78,14.33,14.49,14.45,0.01,0.0692,2.7211,2889800
2018-01-15,'603318,派思股份,14.26,14.62,14.18,14.48,14.46,-0.2,-1.3831,2.5844,2744600
2018-01-16,'603318,派思股份,14.36,14.44,14.18,14.26,14.26,0.1,0.7013,0.8334,885100
2018-01-17,'603318,派思股份,14.4,14.48,14.21,14.34,14.36,0.04,0.2786,0.9979,1059800
2018-01-18,'603318,派思股份,14.41,14.45,14.22,14.4,14.4,0.01,0.0694,1.0635,1129452
2018-01-19,'603318,派思股份,14.41,14.49,14.27,14.46,14.41,0.0,0.0,1.0397,1104201
2018-01-22,'603318,派思股份,14.32,14.46,14.25,14.45,14.41,-0.09,-0.6246,0.8766,930900
2018-01-23,'603318,派思股份,14.38,14.41,13.91,14.26,14.32,0.06,0.419,2.2617,2401939
2018-01-24,'603318,派思股份,14.44,14.57,14.21,14.33,14.38,0.06,0.4172,2.0626,2190500
2018-01-25,'603318,派思股份,14.45,14.9,14.36,14.43,14.44,0.01,0.0693,2.3984,2547100
2018-01-26,'603318,派思股份,14.66,14.78,14.4,14.47,14.45,0.21,1.4533,2.5377,2695000
2018-01-29,'603318,派思股份,14.57,14.84,14.45,14.7,14.66,-0.09,-0.6139,2.3205,2464400
2018-01-30,'603318,派思股份,14.43,14.63,14.17,14.57,14.57,-0.14,-0.9609,4.9001,5203901
2018-01-31,'603318,派思股份,14.36,14.45,14.2,14.4,14.43,-0.07,-0.4851,1.4654,1556251
2018-02-01,'603318,派思股份,14.06,14.46,13.25,14.45,14.36,-0.3,-2.0891,3.2521,3453700
2018-02-02,'603318,派思股份,14.11,14.18,13.71,14.05,14.06,0.05,0.3556,2.3776,2525000
