日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量
2016-08-26,'600246,万通地产,5.39,5.52,5.38,5.4,5.42,-0.03,-0.5535,0.7908,9622998
2016-08-29,'600246,万通地产,5.42,5.44,5.35,5.38,5.39,0.03,0.5566,0.7215,8779038
2016-08-30,'600246,万通地产,5.39,5.48,5.36,5.44,5.42,-0.03,-0.5535,0.6339,7713317
2016-08-31,'600246,万通地产,5.59,5.68,5.45,5.46,5.39,0.2,3.7106,2.6099,31756921
2016-09-01,'600246,万通地产,5.39,5.53,5.38,5.53,5.59,-0.2,-3.5778,1.6345,19889046
2016-09-02,'600246,万通地产,5.32,5.39,5.3,5.39,5.39,-0.07,-1.2987,0.917,11158658
2016-09-05,'600246,万通地产,5.33,5.36,5.29,5.33,5.32,0.01,0.188,0.6427,7820431
2016-09-06,'600246,万通地产,5.38,5.41,5.27,5.33,5.33,0.05,0.9381,0.8298,10096454
2016-09-07,'600246,万通地产,5.37,5.41,5.35,5.38,5.38,-0.01,-0.1859,0.7148,8697504
2016-09-08,'600246,万通地产,5.37,5.42,5.34,5.37,5.37,0.0,0.0,0.4887,5946148
2016-09-09,'600246,万通地产,5.3,5.39,5.3,5.39,5.37,-0.07,-1.3035,0.6338,7712163
2016-09-12,'600246,万通地产,5.19,5.26,5.17,5.22,5.3,-0.11,-2.0755,0.6414,7804336
2016-09-13,'600246,万通地产,5.27,5.28,5.18,5.21,5.19,0.08,1.5414,0.6019,7324433
2016-09-14,'600246,万通地产,5.31,5.33,5.2,5.24,5.27,0.04,0.759,0.6434,7829112
2016-09-19,'600246,万通地产,5.32,5.38,5.32,5.33,5.31,0.01,0.1883,0.3831,4661000
2016-09-20,'600246,万通地产,5.3,5.36,5.26,5.35,5.32,-0.02,-0.3759,0.4091,4977995
2016-09-21,'600246,万通地产,5.37,5.38,5.27,5.28,5.3,0.07,1.3208,0.6208,7554372
2016-09-22,'600246,万通地产,5.47,5.53,5.38,5.39,5.37,0.1,1.8622,1.7596,21411316
2016-09-23,'600246,万通地产,5.4,5.46,5.34,5.45,5.47,-0.07,-1.2797,0.797,9698456
2016-09-26,'600246,万通地产,5.34,5.42,5.32,5.39,5.4,-0.06,-1.1111,0.6263,7621036
2016-09-27,'600246,万通地产,5.87,5.87,5.37,5.37,5.34,0.53,9.9251,1.6585,20180129
2016-10-31,'600246,万通地产,6.46,6.46,6.38,6.46,5.87,0.59,10.0511,2.6474,32213640
2016-11-01,'600246,万通地产,6.39,6.64,6.2,6.64,6.46,-0.07,-1.0836,7.8065,94988910
2016-11-02,'600246,万通地产,6.5,6.9,6.3,6.3,6.39,0.11,1.7214,5.4543,66367622
2016-11-03,'600246,万通地产,6.69,6.88,6.24,6.31,6.5,0.19,2.9231,5.9385,72259501
2016-11-04,'600246,万通地产,6.42,6.65,6.36,6.61,6.69,-0.27,-4.0359,3.4002,41374065
2016-11-07,'600246,万通地产,6.5,6.58,6.35,6.41,6.42,0.08,1.2461,2.1498,26158239
2016-11-08,'600246,万通地产,6.39,6.51,6.32,6.5,6.5,-0.11,-1.6923,2.0445,24877101
2016-11-09,'600246,万通地产,6.33,6.43,6.21,6.34,6.39,-0.06,-0.939,1.9349,23543662
2016-11-10,'600246,万通地产,6.31,6.44,6.28,6.4,6.33,-0.02,-0.316,1.6130000000000002,19627449
2016-11-11,'600246,万通地产,6.23,6.34,6.2,6.29,6.31,-0.08,-1.2678,1.5575,18951853
2016-11-14,'600246,万通地产,6.14,6.26,6.1,6.26,6.23,-0.09,-1.4446,1.4819,18031790
2016-11-15,'600246,万通地产,6.17,6.23,6.1,6.14,6.14,0.03,0.4886,1.2512,15224977
2016-11-16,'600246,万通地产,6.21,6.22,6.1,6.17,6.17,0.04,0.6483,1.1664,14192160
2016-11-17,'600246,万通地产,6.15,6.26,6.13,6.23,6.21,-0.06,-0.9662,1.101,13396499
2016-11-18,'600246,万通地产,6.09,6.2,6.07,6.12,6.15,-0.06,-0.9756,0.9295,11309725
2016-11-21,'600246,万通地产,6.08,6.13,6.05,6.1,6.09,-0.01,-0.1642,0.6363,7743025
2016-11-22,'600246,万通地产,6.12,6.13,6.06,6.06,6.08,0.04,0.6579,0.6192,7534110
2016-11-23,'600246,万通地产,6.19,6.27,6.09,6.12,6.12,0.07,1.1438,1.4298,17397312
2016-11-24,'600246,万通地产,6.2,6.23,6.09,6.15,6.19,0.01,0.1616,0.9842,11975644
